Callsign,Frequency_MHz,Latitude,Longitude,SiteName,SiteLocation,State,Power_W,WFO,Status
WXN28,162.500,45.344444,-68.095,Springfield,Lakeville,ME,1000,Caribou|ME,NORMAL
KZZ41,162.500,44.270278,-71.303333,Mt. Washington,North Conway,NH,100,Gray/Portland|ME,NORMAL
KEC93,162.400,44.545833,-68.511944,Ellsworth,Ellsworth,ME,1000,Caribou|ME,NORMAL
KHB54,162.550,45.247591,-69.01068,Milo,Milo,ME,1000,Caribou|ME,NORMAL
WNG542,162.425,45.4625,-69.552222,Greenville,Greenville,ME,300,Caribou|ME,NORMAL
WNG543,162.450,44.6369,-67.6261,Jonesboro Marine,Jonesboro,ME,1000,Caribou|ME,NORMAL
KHC47,162.425,45.028889,-67.322778,Meddybemps,Meddybemps,ME,300,Caribou|ME,NORMAL
KIG83,162.550,45.062833,-83.717306,Alpena,Herron,MI,800,Gaylord|MI,NORMAL
WNG701,162.525,43.794167,-83.001944,Bad Axe,Bad Axe (Port Austin),MI,100,Detroit/Pontiac|MI,NORMAL
WZ2515,162.425,46.5475,-86.0364,Grand Marais,Grand Marais,MI,100,Marquette|MI,NORMAL
WNG684,162.525,46.109722,-86.236667,Manistique,Steuben,MI,300,Marquette|MI,NORMAL
KIG66,162.550,46.514167,-87.481667,Marquette,Negaunee,MI,1000,Marquette|MI,NORMAL
WZ2514,162.475,46.420833,-86.675,Munising,Alger County,MI,100,Marquette|MI,NORMAL
WNG576,162.450,46.319167,-85.537222,Newberry,Newberry,MI,300,Marquette|MI,NORMAL
WZ2560,162.550,43.0138,-85.4778,Cannonsburg,Cannonsburg,MI,1000,Grand Rapids|MI,NORMAL
WWF34,162.475,42.421944,-85.528889,Plainwell,Plainwell,MI,300,Grand Rapids|MI,NORMAL
WXN99,162.425,42.941389,-86.084167,West Olive,West Olive,MI,300,Grand Rapids|MI,NORMAL
KIH22,162.400,44.760442,-85.682994,Traverse City,Traverse City,MI,300,Gaylord|MI,NORMAL
KXI33,162.450,44.276972,-84.313278,West Branch,West Branch,MI,1000,Gaylord|MI,NORMAL
WXK73,162.400,47.035556,-88.695278,Houghton,Painesdale,MI,1000,Marquette|MI,NORMAL
KIH29,162.475,43.216944,-83.721389,Flint,Clio,MI,1000,Detroit/Pontiac|MI,NORMAL
WXK81,162.400,42.4428,-84.572429,Onondaga,Rossman Rd.,MI,1000,Grand Rapids|MI,NORMAL
WNG572,162.475,45.5694,-85.0406,Petoskey,Goodhart,MI,300,Gaylord|MI,OUT OF SERVICE
KIG74,162.550,46.377042,-84.425094,Sault Ste Marie,Dafter,MI,1000,Gaylord|MI,NORMAL
KZZ33,162.525,43.575833,-84.774722,Mount Pleasant,Mount Pleasant,MI,1000,Grand Rapids|MI,NORMAL
WWF70,162.500,44.90741,-84.71906,Gaylord,Waters,MI,100,Gaylord|MI,NORMAL
KZZ35,162.500,45.779722,-87.140556,Escanaba,Escanaba,MI,1000,Marquette|MI,NORMAL
KZZ78,162.525,46.608056,-90.836944,Ashland,Ashland,WI,1000,Duluth|MN,NORMAL
WNG683,162.550,46.3775,-89.7075,Marenisco,Gogebic County,MI,300,Marquette|MI,NORMAL
WNG647,162.450,41.903056,-83.986944,Adrian / Petersburg,Lenawee County,MI,300,Detroit/Pontiac|MI,NORMAL
WNG582,162.450,43.4106,-82.8064,Sandusky,Sanilac County,MI,300,Detroit/Pontiac|MI,NORMAL
KJY76,162.475,46.100833,-88.540278,Crystal Falls,Crystal Falls,MI,1000,Marquette|MI,NORMAL
WZ2513,162.500,47.4675,-87.8722,Copper Harbor,Copper Harbor,MI,300,Marquette|MI,NORMAL
WNG672,162.425,43.980556,-85.843333,Wolf Lake,Baldwin,MI,1000,Grand Rapids|MI,NORMAL
KEC63,162.550,42.483056,-83.205556,Detroit,Southfield,MI,1000,Detroit/Pontiac|MI,NORMAL
WXL51,162.500,41.625556,-83.711111,Toledo,Holland,OH,300,Cleveland|OH,NORMAL
WXN69,162.425,45.237887,-87.091394,Sister Bay,Sister Bay,WI,1000,Green Bay|WI,NORMAL
WNG553,162.400,45.4275,-87.9775,Wausaukee,Wausaukee,WI,1000,Green Bay|WI,NORMAL
WWF36,162.475,43.549722,-86.042778,Hesperia,Hesperia,MI,300,Grand Rapids|MI,NORMAL
KZZ84,162.450,46.469444,-93.526944,Aitkin,Aitkin,MN,1000,Duluth|MN,NORMAL
WNG678,162.425,45.8411,-92.9825,Pine City,Pine County,MN,1000,Duluth|MN,NORMAL
KZZ29,162.400,47.2922,-93.4822,Coleraine,Grand Rapids,MN,1000,Duluth|MN,NORMAL
WNG676,162.500,45.348472,-93.908778,Clearwater,Enfield,MN,1000,Twin Cities/Chanhassen|MN,NORMAL
KEC65,162.550,44.968944,-93.207833,Minneapolis/St. Paul,Minneapolis,MN,1020,Twin Cities/Chanhassen|MN,NORMAL
WXM64,162.400,46.822778,-95.861028,Detroit Lakes,Detroit Lakes,MN,100,Grand Forks|ND,NORMAL
WNG680,162.500,46.259111,-95.980944,Fergus Falls,Fergus Falls,MN,1010,Grand Forks|ND,NORMAL
WWG98,162.475,46.984722,-95.106167,Park Rapids,Park Rapids,MN,1000,Grand Forks|ND,NORMAL
WNG610,162.450,47.180256,-95.778167,Waubun,Waubun,MN,302,Grand Forks|ND,NORMAL
WXM99,162.425,47.555833,-94.801361,Bemidji,Bemidji,MN,1000,Grand Forks|ND,NORMAL
WWF45,162.450,48.789083,-95.049889,Roosevelt,Roosevelt,MN,300,Grand Forks|ND,NORMAL
WXK43,162.550,48.119924,-96.205269,Thief River Falls,Thief River Falls,MN,1000,Grand Forks|ND,NORMAL
WXL65,162.400,45.577278,-94.204667,St. Cloud,St. Cloud,MN,300,Twin Cities/Chanhassen|MN,NORMAL
WXK44,162.475,45.3428,-95.007917,Willmar,New London,MN,600,Twin Cities/Chanhassen|MN,NORMAL
KXI32,162.550,45.1675,-95.999722,Appleton,Appleton,MN,1000,Aberdeen|SD,NORMAL
WNG707,162.400,45.831778,-95.721111,Kensington,Hoffman,MN,314,Twin Cities/Chanhassen|MN,NORMAL
WXM41,162.425,45.178889,-97.015833,South Shore,South Shore,SD,1000,Aberdeen|SD,NORMAL
WXK40,162.400,44.087722,-93.701778,Mankato,Janesville,MN,1000,Twin Cities/Chanhassen|MN,NORMAL
KXI39,162.525,44.2772,-94.440778,New Ulm,New Ulm,MN,1010,Twin Cities/Chanhassen|MN,NORMAL
KXI31,162.450,44.0567,-95.1956,Jeffers,Windom,MN,1040,Sioux Falls|SD,NORMAL
WNG711,162.400,44.776111,-94.981944,Olivia,Renville County,MN,300,Twin Cities/Chanhassen|MN,NORMAL
KIG64,162.550,46.786944,-92.114444,Duluth,Arnold Site,MN,1000,Duluth|MN,NORMAL
WNG685,162.425,44.788889,-93.906889,Norwood,Carver County,MN,326,Twin Cities/Chanhassen|MN,NORMAL
WXJ64,162.550,46.551944,-94.520833,Leader,Omen Lake,MN,1000,Duluth|MN,NORMAL
WNG673,162.525,45.9964,-94.89825,Long Prairie,Long Prairie,MN,1020,Twin Cities/Chanhassen|MN,NORMAL
WXK42,162.475,47.012417,-97.195056,Fargo,Fargo,ND,1020,Grand Forks|ND,NORMAL
KXI43,162.450,47.8664,-90.143889,Grand Marais,Bogus Lake,MN,300,Duluth|MN,NORMAL
KXI45,162.525,48.078333,-90.76,Gun Flint Lake,Gun Flint Lake,MN,300,Duluth|MN,OUT OF SERVICE
KJY80,162.450,44.524056,-92.576444,Red Wing,Red Wing,MN,359,Twin Cities/Chanhassen|MN,NORMAL
WXK41,162.475,44.0625,-92.351944,Rochester,Viola,MN,1000,La Crosse|WI,NORMAL
WNG583,162.525,48.717267,-96.605401,Lake Bronson,Lake Bronson,MN,344,Grand Forks|ND,NORMAL
KZZ44,162.450,48.18,-92.750278,Elephant Lake,Orr,MN,300,Duluth|MN,NORMAL
WXK45,162.550,48.389722,-93.55,International Falls,Little Fork,MN,1000,Duluth|MN,NORMAL
KXI44,162.500,47.894444,-91.863333,Ely,Ely,MN,300,Duluth|MN,NORMAL
WNG630,162.425,47.456389,-91.231667,Finland,Lake County,MN,300,Duluth|MN,NORMAL
KXI50,162.500,44.313639,-95.957472,Russell,Russell,MN,1060,Sioux Falls|SD,NORMAL
WXM38,162.400,48.138389,-97.993556,Petersburg,Dahlen,ND,991,Grand Forks|ND,NORMAL
WNG702,162.425,43.877583,-95.6069,Fulda,Murry County,MN,311,Sioux Falls|SD,NORMAL
KZZ79,162.475,45.986787,-91.793709,Spooner,Lampson,WI,1000,Duluth|MN,NORMAL
WWF83,162.475,47.921861,-97.097694,Grand Forks,Grand Forks,ND,338,Grand Forks|ND,NORMAL
KZZ45,162.475,47.4875,-92.52,Virginia,Virginia,MN,300,Duluth|MN,NORMAL
KGG95,162.425,44.0739,-91.5775,Winona,Fountain City,WI,300,La Crosse|WI,NORMAL
WXM39,162.525,39.955556,-92.4925,La Plata,La Plata,MO,303,Kansas City|MO,NORMAL
KZZ85,162.475,39.752778,-94.25,Cameron,Cameron,MO,302,Kansas City|MO,NORMAL
WXL45,162.400,38.8786,-91.981778,Columbia,Fulton,MO,1000,St. Louis|MO,NORMAL
WNG728,162.425,38.979444,-91.131111,Hawk Point,Hawk Point,MO,1000,St. Louis|MO,NORMAL
KZZ43,162.550,36.715889,-93.367611,Branson,Indian Ridge,MO,1050,Springfield|MO,NORMAL
WNG608,162.500,36.671861,-93.896639,Cassville,Cassville,MO,1000,Springfield|MO,NORMAL
WXL46,162.400,37.2192,-92.9492,Fordland,Fordland,MO,1000,Springfield|MO,NORMAL
KZZ39,162.500,38.503611,-93.758056,Clinton,Shawnee Mound,MO,980,Kansas City|MO,NORMAL
WZ2548,162.550,38.2794,-92.5853,Eldon,Eldon,MO,1000,Springfield|MO,NORMAL
WWG49,162.500,37.453806,-90.376083,Fredericktown,Fredericktown,MO,1270,St. Louis|MO,NORMAL
KWN55,162.425,38.750333,-92.559,Jamestown,Prairie Home,MO,1020,St. Louis|MO,OUT OF SERVICE
WXL47,162.400,36.9022,-89.8881,Bloomfield,Idalia/Sikeston,MO,1000,Paducah|KY,NORMAL
WWG48,162.450,36.658333,-90.793333,Doniphan,Doniphan,MO,300,Paducah|KY,NORMAL
KXI66,162.425,37.0931,-90.8439,Piedmont,Piedmont,MO,1000,Paducah|KY,NORMAL
KZZ34,162.450,39.367147,-93.404064,Carrollton,Carrollton,MO,1120,Kansas City|MO,NORMAL
KZZ38,162.500,40.154444,-93.422778,Trenton,Galt,MO,1000,Kansas City|MO,NORMAL
WWF75,162.525,38.168944,-91.218806,Bourbon,Crawford County,MO,1050,St. Louis|MO,NORMAL
WXM81,162.450,37.905444,-93.317028,Hermitage,Lake PomDeTerre,MO,1000,Springfield|MO,NORMAL
WWF76,162.475,37.180694,-91.665833,Summersville,Summersville,MO,971,Springfield|MO,NORMAL
KZZ82,162.425,36.663861,-92.517056,Gainesville,Marshfield,MO,1000,Springfield|MO,NORMAL
KXI38,162.525,36.6936,-91.8833,West Plains,West Plains,MO,291,Springfield|MO,NORMAL
KXI35,162.500,36.6983,-91.4103,Alton,Alton,MO,300,Springfield|MO,NORMAL
WZ2545,162.550,37.085,-94.5133,Joplin,Joplin,MO,300,Springfield|MO,NORMAL
WNG648,162.500,37.9522,-92.03,Crocker,Fort  Leonard Wood,MO,1000,Springfield|MO,NORMAL
WXM86,162.550,15.1865,145.743819,Saipan,Mount Tapochau,MP,300,Guam|GU,NORMAL
KIH53,162.400,34.709472,-88.843556,Booneville,Dumas,MS,1060,Memphis|TN,NORMAL
KIH51,162.475,33.353944,-89.15,Ackerman,Ackerman,MS,1000,Jackson|MS,NORMAL
KJY83,162.500,32.724556,-89.545583,Carthage,Carthage,MS,1230,Jackson|MS,NORMAL
KIH52,162.550,34.2908,-89.706056,Oxford,Taylor,MS,900,Memphis|TN,NORMAL
KIH38,162.400,32.1917,-90.406278,Jackson,Raymond,MS,1000,Jackson|MS,NORMAL
KIH47,162.475,31.4395,-89.640556,Hattiesburg,Melba,MS,1180,Jackson|MS,NORMAL
WZ2546,162.525,31.8742,-89.7319,Magee,Magee,MS,300,Jackson|MS,NORMAL
KIH21,162.400,30.38433,-89.09583,Gulfport,Gulfport,MS,1000,New Orleans/Baton Rouge|LA,NORMAL
WXL79,162.550,46.0075,-112.441667,Butte,Xl Heights,MT,100,Missoula|MT,NORMAL
WNG638,162.475,44.9444,-112.734722,Dillon,Red Rock,MT,140,Great Falls|MT,NORMAL
WXL27,162.550,45.805833,-108.349444,Billings,Emerald Hills,MT,300,Billings|MT,NORMAL
WNG724,162.450,45.745,-107.533889,Hardin,Yellowtail / Crow Reservation,MT,100,Billings|MT,NORMAL
WXM46,162.475,44.601944,-106.931667,Sheridan,Banner Peak,WY,500,Billings|MT,NORMAL
WXL53,162.400,48.494364,-109.714889,Havre,Squaw Butte,MT,300,Great Falls|MT,NORMAL
WXK66,162.400,46.826389,-111.709167,Helena,Hogback Mtn.,MT,1000,Great Falls|MT,NORMAL
WNG563,162.400,44.587222,-108.852222,Cody,Powell,WY,300,Riverton|WY,NORMAL
WXK57,162.550,46.239167,-104.335,Baker,Bechtold Hill,MT,300,Billings|MT,NORMAL
WNG567,162.425,45.475278,-105.498889,Broadus,Five Mile Hill,MT,300,Billings|MT,NORMAL
WZ2533,162.475,45.512222,-104.48,Ekalaka,Carter County,MT,100,Billings|MT,NORMAL
WXL23,162.525,44.328056,-103.834444,Lead,Terry Peak,SD,300,Rapid City|SD,NORMAL
WXL54,162.400,46.404444,-105.663333,Miles City,Gov't. Hill,MT,300,Billings|MT,NORMAL
WXJ43,162.550,47.606401,-111.318561,Great Falls,Bootlegger Hill,MT,300,Great Falls|MT,NORMAL
WWG84,162.500,48.33,-112.035556,Belgian Hill,Conrad,MT,100,Great Falls|MT,NORMAL
KZZ54,162.500,47.177778,-109.535833,Lewistown,Mocassin Mtn.,MT,100,Great Falls|MT,NORMAL
WNG719,162.525,46.3308,-106.7108,Forsyth,Forsyth,MT,100,Billings|MT,NORMAL
KPS507,162.525,48.794444,-106.245556,Glentana,Randel,MT,60,Glasgow|MT,NORMAL
WWF92,162.450,48.801389,-105.346667,Scobey,Scobey,MT,25,Glasgow|MT,NORMAL
KHC26,162.550,47.276944,-105.391667,Circle,Linsay,MT,300,Glasgow|MT,NORMAL
WWF93,162.475,47.052222,-104.6725,Glendive,Makoshika Peak,MT,80,Glasgow|MT,NORMAL
WXL82,162.550,48.011667,-114.364167,Kalispell,Blacktail Mtn.,MT,100,Missoula|MT,NORMAL
KGG97,162.500,45.679722,-111.041667,Bozeman,Courthouse,MT,100,Great Falls|MT,NORMAL
WXL32,162.400,48.031389,-106.315833,Glasgow,Signal Hill,MT,300,Glasgow|MT,NORMAL
KHB53,162.500,47.306111,-106.914444,Jordan,Brockway,MT,300,Glasgow|MT,NORMAL
WNG670,162.400,46.990833,-108.333889,Winnett,Mosby,MT,300,Glasgow|MT,NORMAL
WNG533,162.525,48.596111,-113.018889,Browning,Browning,MT,300,Great Falls|MT,NORMAL
KAD95,162.450,46.283333,-109.162778,Ryegate,Ryegate,MT,300,Billings|MT,NORMAL
WXL25,162.400,47.0403,-113.9878,Missoula,Point Six Mtn.,MT,100,Missoula|MT,NORMAL
KGG94,162.425,48.290556,-105.251944,Poplar,Poplar,MT,300,Glasgow|MT,NORMAL
WNG686,162.425,44.9864,-110.7156,Elk Plaza,Yellowstone Nat'l. Park North,WY,300,Riverton|WY,NORMAL
WNG667,162.450,44.3811,-110.5453,Grant Village,Yellowstone AGR,WY,300,Riverton|WY,NORMAL
WNG682,162.525,45.6739,-110.5675,Livingston,Livingston,MT,100,Billings|MT,NORMAL
WWG85,162.475,48.3494,-107.834722,Malta,Malta,MT,75,Glasgow|MT,NORMAL
WXL84,162.550,48.141667,-103.892778,Williston,Williston,ND,1000,Bismarck|ND,NORMAL
WWF50,162.475,48.693889,-104.595556,Plentywood,Plentywood,MT,50,Glasgow|MT,NORMAL
WZ2528,162.500,46.9919,-104.2683,Wibaux,Wibaux,MT,300,Glasgow|MT,NORMAL
WXL58,162.550,35.866944,-79.1669,Chapel Hill,Durham,NC,1000,Raleigh|NC,NORMAL
WXL42,162.400,36.37748,-80.3639,Winston-Salem,Sauratown Mtn. ,NC,1000,Raleigh|NC,NORMAL
WXL70,162.475,35.297222,-81.114722,Charlotte,Spencer Mtn.,NC,1000,Greenville-Spartanburg|SC,NORMAL
WNG538,162.450,36.06317,-81.84184,Linville,Grandmother Mtn.,NC,300,Greenville-Spartanburg|SC,NORMAL
WNG588,162.500,36.4032,-81.4638,Mount Jefferson,Ashe County,NC,300,Blacksburg|VA,NORMAL
KJY85,162.525,35.7333,-80.88944,Statesville,Statesville,NC,1000,Greenville-Spartanburg|SC,NORMAL
WZ2500,162.450,36.9075,-81.06805,Sand Mtn,Wythe County,VA,300,Blacksburg|VA,NORMAL
WWF60,162.500,35.406389,-79.998889,Buck Mountain,Biscoe,NC,1000,Raleigh|NC,NORMAL
WXK90,162.450,34.646197,-79.945287,Cheraw,Chesterfield,SC,300,Columbia|SC,NORMAL
WNG597,162.400,35.1203,-79.710833,Ellerbe,Richmond  County,NC,300,Raleigh|NC,NORMAL
WXK47,162.550,36.4429,-82.1203,Bristol,Holston Mtn.,TN,500,Morristown|TN,NORMAL
WXL56,162.400,35.425556,-82.756944,Asheville,Asheville,NC,300,Greenville-Spartanburg|SC,NORMAL
KEC84,162.400,35.1344,-77.0631,New Bern,Glenburnie Garden,NC,1000,Newport/Morehead City|NC,NORMAL
WNG537,162.525,36.0636,-76.9736,Windsor,Windsor,NC,300,Wakefield|VA,NORMAL
KIG77,162.475,35.2458,-75.5339,Cape Hatteras,Middletown,NC,1000,Newport/Morehead City|NC,NORMAL
WWG33,162.450,36.513686,-77.332105,Margarettsville,Margarettsville,NC,300,Wakefield|VA,NORMAL
KHB37,162.550,36.815556,-76.466667,Norfolk,Driver,VA,1000,Wakefield|VA,NORMAL
WXL59,162.475,35.9014,-77.7831,Rocky Mount,Tarboro,NC,1000,Raleigh|NC,NORMAL
WXL50,162.475,34.797498,-79.044835,Saint Pauls,Saint Pauls,NC,1000,Wilmington|NC,NORMAL
KXI95,162.425,34.9281,-78.0558,Warsaw,Duplin County,NC,300,Newport/Morehead City|NC,NORMAL
KHB31,162.550,34.1316,-78.187778,Winnabow,Winnabow,NC,1000,Wilmington|NC,NORMAL
KEC95,162.400,33.950722,-79.108459,Aynor,Conway/Myrtle Beach,SC,1000,Wilmington|NC,NORMAL
WWH26,162.425,36.1358,-75.8242,Mamie,Mamie,NC,300,Newport/Morehead City|NC,NORMAL
WXL60,162.475,37.19917,-80.1494,Roanoke,Poor Mtn.,VA,1000,Blacksburg|VA,NORMAL
KJY86,162.525,36.733056,-78.933889,South Boston,South Boston,VA,1000,Blacksburg|VA,NORMAL
WWG82,162.525,35.257853,-83.795475,Robbinsville,Joanna  Bald Mtn.,NC,300,Greenville-Spartanburg|SC,NORMAL
KHC27,162.425,34.839722,-81.018333,Rock Hill,York,SC,1000,Greenville-Spartanburg|SC,NORMAL
WNG706,162.450,35.6747,-78.5275,Garner,Garner,NC,1000,Raleigh|NC,NORMAL
WNG586,162.500,36.310278,-78.501111,Henderson,Henderson,NC,300,Raleigh|NC,NORMAL
WXJ21,162.550,34.940556,-82.410556,Greenville,Paris Mtn.,SC,1000,Greenville-Spartanburg|SC,NORMAL
WNG658,162.525,46.1825,-103.048889,Scranton,Bowman County,ND,1000,Bismarck|ND,NORMAL
WNG656,162.525,46.523687,-97.956331,Fort Ransom,Fort Ransom,ND,1000,Grand Forks|ND,NORMAL
WXL81,162.550,46.776667,-98.522222,Jamestown,Cable Serv. Tower/Ypsilanti,ND,1000,Bismarck|ND,NORMAL
KWN46,162.525,47.775501,-99.146556,Sheyenne,Sheyenne,ND,1000,Grand Forks|ND,NORMAL
WWG25,162.425,48.194139,-98.903917,Webster,Devils Lake,ND,300,Grand Forks|ND,NORMAL
WXL80,162.400,46.725,-102.916111,Dickinson,Daglum,ND,800,Bismarck|ND,NORMAL
WXL83,162.400,48.050833,-101.39,Minot,South Prarie,ND,1000,Bismarck|ND,NORMAL
KWN42,162.475,48.8475,-99.656389,Rolla,Rolla,ND,300,Bismarck|ND,NORMAL
KWN45,162.450,48.604167,-100.303056,Willow City,Bottineau,ND,300,Bismarck|ND,NORMAL
WXL78,162.475,46.588056,-100.8125,Bismarck,St. Anthony,ND,1000,Bismarck|ND,NORMAL
WNG581,162.400,46.665278,-99.758333,Steele,Steele,ND,300,Bismarck|ND,NORMAL
KWN43,162.500,48.754972,-98.361139,Langdon,Langdon,ND,301,Grand Forks|ND,NORMAL
WXM25,162.475,45.4658,-98.3367,Aberdeen,Bath,SD,1000,Aberdeen|SD,NORMAL
WXN88,162.525,48.071667,-102.44,New Town,Belden (AG),ND,300,Bismarck|ND,NORMAL
WXM40,162.500,45.397222,-99.941389,Lowry,Selby,SD,1000,Aberdeen|SD,NORMAL
KWN44,162.450,48.733973,-97.750932,Cavalier,Hansel,ND,297,Grand Forks|ND,NORMAL
WXL74,162.400,40.772222,-98.0895,Grand Island,Giltner,NE,750,Hastings|NE,NORMAL
WXL77,162.550,42.2375,-97.2778,Norfolk,Carroll,NE,1060,Omaha/Valley|NE,NORMAL
WXL68,162.550,41.021111,-101.1525,North Platte,Sutherland,NE,1000,North Platte|NE,NORMAL
WXL67,162.475,41.84,-103.055,Scottsbluff,Angora,NE,1000,Cheyenne|WY,NORMAL
WXL73,162.475,42.338056,-99.488056,Bassett,Bassett,NE,1000,North Platte|NE,NORMAL
WNG645,162.500,41.622528,-98.119472,Albion,Albion,NE,297,Omaha/Valley|NE,NORMAL
KXI20,162.525,42.635,-103.103333,Chadron,Chadron St. Park,NE,1000,Cheyenne|WY,NORMAL
KXI25,162.425,43.065,-98.4892,Pickstown,Lake Andes,SD,302,Sioux Falls|SD,NORMAL
WXL75,162.475,40.384833,-99.458833,Holdrege,Atlanta,NE,1000,Hastings|NE,NORMAL
WNG549,162.450,41.4525,-97.253028,Columbus,Platte County,NE,1020,Omaha/Valley|NE,NORMAL
WXM20,162.475,40.821444,-96.662139,Lincoln,Lincoln,NE,991,Omaha/Valley|NE,NORMAL
KXI21,162.500,42.842056,-97.484611,Yankton,Gavins Point Dam,NE,1000,Sioux Falls|SD,NORMAL
WXL76,162.400,42.676944,-101.709722,Merriman,Merriman,NE,800,North Platte|NE,NORMAL
KPS502,162.425,41.986389,-101.039722,Mullen,Mullen,NE,1000,North Platte|NE,NORMAL
WXN82,162.450,42.888611,-100.553333,Valentine,Valentine,NE,1000,North Platte|NE,NORMAL
WXN61,162.500,41.184167,-103.193611,Sidney,Sidney,NE,1000,Cheyenne|WY,NORMAL
WXN72,162.500,41.387222,-99.820833,Merna,Broken Bow,NE,1000,North Platte|NE,NORMAL
KWN62,162.525,41.7144,-98.868778,Ord,Ord,NE,230,Hastings|NE,NORMAL
WXK64,162.425,43.455278,-103.445556,Hot Springs,Battle Mountain,SD,300,Rapid City|SD,NORMAL
KGG99,162.425,40.695028,-99.817389,Lexington,Lexington,NE,405,Hastings|NE,NORMAL
KHA55,162.525,41.340278,-102.399167,Oshkosh,Oshkosh (Ag.),NE,1000,North Platte|NE,NORMAL
WNG524,162.500,40.241111,-101.044722,Trenton,Hitchcock County,NE,379,Goodland|KS,NORMAL
KZZ69,162.450,40.218583,-96.915694,Beatrice,Ellis,NE,1000,Omaha/Valley|NE,NORMAL
WXJ40,162.400,43.219444,-71.440278,Concord,Plausawa Hill,NH,300,Gray/Portland|ME,NORMAL
WNG546,162.525,43.7092,-72.1542,Hanover,Moose Mtn.,NH,300,Gray/Portland|ME,NORMAL
WNG545,162.550,43.7628,-71.6494,Holderness,Mt. Prospect,NH,300,Gray/Portland|ME,NORMAL
WNG544,162.400,45.0219,-71.416938,Clarksville,Ben Young Hill,NH,100,Gray/Portland|ME,NORMAL
WWG50,162.425,44.571111,-71.894167,St. Johnsbury,Burke Mtn.,VT,300,Burlington|VT,NORMAL
WXM44,162.475,43.4439,-72.454722,Windsor,Mount Ascutney,VT,400,Burlington|VT,NORMAL
KHB38,162.400,39.37895,-74.447744,Atlantic City,Atlantic City,NJ,1000,Philadelphia/Mt Holly|NJ,NORMAL
KZZ31,162.500,41.143611,-74.538056,Hardyston,Rudeville,NJ,1000,Philadelphia/Mt Holly|NJ,NORMAL
WXM60,162.450,40.139866,-74.224193,Southard,Howell Township/Lakewood,NJ,300,Philadelphia/Mt Holly|NJ,NORMAL
WXL39,162.400,40.565,-75.4406,Allentown,Allentown,PA,1010,Philadelphia/Mt Holly|NJ,NORMAL
WXJ34,162.400,35.065556,-106.787778,Albuquerque,Albuquerque,NM,100,Albuquerque|NM,NORMAL
WWG36,162.450,33.363056,-104.636389,Roswell,Roswell,NM,100,Albuquerque|NM,OUT OF SERVICE
WXJ38,162.550,33.403889,-105.782222,Ruidoso,Sierra Blanca,NM,300,Albuquerque|NM,NORMAL
WXL90,162.550,36.705556,-103.876667,Des Moines,Sierra Grande,NM,100,Albuquerque|NM,NORMAL
WXJ35,162.475,34.252222,-103.239444,Portales,Portales,NM,100,Albuquerque|NM,NORMAL
WNG657,162.500,34.738611,-102.511667,Summerfield,Summerfield,TX,1000,Lubbock|TX,NORMAL
WNG652,162.550,31.765556,-106.4775,El Paso Spanish,El Paso Spanish,TX,125,El Paso|TX,NORMAL
WXK25,162.475,31.796111,-106.483056,El Paso,COMANCHE PEAK,TX,300,El Paso|TX,NORMAL
WXL91,162.400,32.292556,-106.697528,Las Cruces,Tortugas Mtn.,NM,100,El Paso|TX,NORMAL
WXN24,162.425,32.800611,-104.198654,Artesia,Artesia,NM,100,Midland/Odessa|TX,OUT OF SERVICE
WWF37,162.475,32.437806,-104.277278,Carlsbad,Carlsbad,NM,100,Midland/Odessa|TX,OUT OF SERVICE
WXJ36,162.400,32.704306,-103.566667,Hobbs,Maljamar,NM,80,Midland/Odessa|TX,NORMAL
WZ2516,162.425,32.581944,-108.425306,Silver City,Jack's Peak,NM,110,El Paso|TX,NORMAL
WNG562,162.425,32.707222,-102.624861,Seminole,Gaines County,TX,1000,Midland/Odessa|TX,NORMAL
WXJ33,162.550,35.785556,-105.781944,Santa Fe,Tesuque Peak,NM,100,Albuquerque|NM,NORMAL
WWQ50,162.425,36.274622,-102.854634,Dalhart,Texline,TX,1000,Amarillo|TX,NORMAL
WXL36,162.550,35.9969,-114.862778,Las Vegas,Boulder City,NV,100,Las Vegas|NV,NORMAL
WXL28,162.550,40.915278,-115.819167,Elko,West Twin Peak,NV,100,Elko|NV,NORMAL
WNG700,162.500,41.783611,-114.840278,Jackpot,Jackpot,NV,100,Elko|NV,NORMAL
WNG731,162.450,41.950833,-116.098333,Owyhee,Owyhee,NV,80,Elko|NV,NORMAL
KXI30,162.475,40.754444,-114.019444,Wendover,Wendover Peak,UT,100,Salt Lake City|UT,NORMAL
WZ2519,162.400,38.051944,-117.225556,Tonopah,Brock Mtn,NV,150,Elko|NV,NORMAL
WWF81,162.550,39.449722,-115.9989,Eureka,Prospect Peak,NV,100,Elko|NV,NORMAL
WXL29,162.400,41.011111,-117.7675,Winnemucca,Winnemucca Mtn.,NV,100,Elko|NV,NORMAL
WZ2521,162.425,40.4036,-116.8681,Battle Mtn.,Battle Mtn.,NV,150,Elko|NV,NORMAL
WXL69,162.400,39.163611,-114.614167,Ely,Cave Mtn.,NV,100,Elko|NV,NORMAL
KEB98,162.550,42.636944,-78.768056,Buffalo,North Boston,NY,330,Buffalo|NY,NORMAL
WXN29,162.425,42.211111,-77.689444,Call Hill,Call Hill,NY,300,Binghamton|NY,NORMAL
WXN55,162.450,42.355556,-77.266111,Mt. Washington,Bath,NY,300,Binghamton|NY,NORMAL
