Callsign,Frequency_MHz,Latitude,Longitude,SiteName,SiteLocation,State,Power_W,WFO,Status
KZZ80,162.550,43.343083,-95.207889,Milford,Milford,IA,300,Sioux Falls|SD,NORMAL
WXL64,162.400,42.5286,-90.613889,Dubuque,Jamestown,WI,1000,Quad Cities|IA,NORMAL
WXN85,162.400,41.089289,-91.968285,Fairfield,Fairfield,IA,300,Quad Cities|IA,NORMAL
WNG730,162.500,41.024139,-92.482306,Ottumwa,Wapello County,IA,302,Des Moines|IA,NORMAL
WXN83,162.525,40.833889,-91.212778,Burlington,Burlington,IA,300,Quad Cities|IA,NORMAL
WNG688,162.475,43.3414,-94.460583,Ringsted,Ringsted,IA,301,Des Moines|IA,NORMAL
KZZ50,162.550,40.812778,-95.252194,Essex,Essex,IA,303,Omaha/Valley|NE,NORMAL
KXI98,162.500,42.0475,-92.8617,Marshalltown,Marshalltown,IA,300,Des Moines|IA,NORMAL
KIH61,162.400,41.257722,-96.009333,Omaha,Omaha,NE,991,Omaha/Valley|NE,NORMAL
KXI62,162.450,41.6108,-92.562722,Montezuma,Montezuma,IA,299,Des Moines|IA,NORMAL
WXL99,162.450,40.4428,-91.8056,Medill,Kahoka,MO,300,Quad Cities|IA,NORMAL
WXM28,162.400,43.518722,-96.534917,Sioux Falls,Rowena,SD,900,Sioux Falls|SD,NORMAL
KWN48,162.525,43.180917,-95.643139,Sanborn,Sanborn,IA,302,Sioux Falls|SD,NORMAL
KZZ37,162.425,40.2875,-94.790833,Maryville,Conception Junction,MO,1330,Kansas City|MO,NORMAL
WXK68,162.550,43.754611,-116.095,Boise,Doe Point,ID,297,Boise|ID,NORMAL
WWF58,162.475,45.008139,-116.134417,McCall,Brundage Mtn.,ID,100,Boise|ID,NORMAL
WXL33,162.550,43.500833,-112.663333,Pocatello,Atomic City,ID,100,Pocatello|ID,NORMAL
KZZ72,162.425,42.515833,-111.9225,Sedgwick Peak,Soda Springs,ID,100,Pocatello|ID,NORMAL
WXL63,162.500,41.8825,-111.269167,Bear Lake,Laketown,UT,50,Salt Lake City|UT,NORMAL
WXL86,162.400,47.921667,-117.113333,Spokane,Spokane Mtn.,WA,100,Spokane|WA,NORMAL
WNG605,162.475,42.361389,-113.455556,Burley,Alibon,ID,100,Pocatello|ID,NORMAL
WZ2520,162.450,43.661389,-114.403056,Sun Valley,Bald Mtn,ID,150,Pocatello|ID,NORMAL
WWG99,162.500,48.610278,-116.256667,Bonners Ferry,Black Mountain,ID,100,Spokane|WA,NORMAL
KJY57,162.450,43.706667,-111.344444,Driggs,Relay Ridge,ID,100,Pocatello|ID,NORMAL
WXK88,162.400,43.948139,-116.928722,Payette,Syme Hill / Ontario OR,ID,100,Boise|ID,NORMAL
WXL35,162.400,42.7303,-114.413389,Twin Falls,Jerome,ID,102,Boise|ID,NORMAL
WXK98,162.550,46.33,-116.632778,Lewiston,Winchester Grade,ID,100,Spokane|WA,NORMAL
WZ2535,162.500,46.5086,-116.2167,Orofino,Norton Knob,ID,100,Spokane|WA,NORMAL
WXM22,162.400,41.713611,-111.717222,Logan,Mount Logan,UT,100,Salt Lake City|UT,NORMAL
KXI82,162.450,45.863611,-116.122778,Grangeville,Grangeville,ID,25,Spokane|WA,NORMAL
KPS509,162.500,45.145278,-114.008333,Salmon,Mt Baldy,ID,100,Missoula|MT,NORMAL
WXK82,162.475,39.729944,-91.4055,Hannibal,Hannibal,MO,1000,St. Louis|MO,NORMAL
WXJ92,162.500,40.427778,-90.682778,Macomb,Macomb,IL,1000,Quad Cities|IA,NORMAL
KXI93,162.550,37.3625,-89.5222,Cape Girardeau,Cape Girardeau,MO,300,Paducah|KY,NORMAL
WXM49,162.425,37.557222,-89.023333,Marion,Goreville,IL,1000,Paducah|KY,NORMAL
KXI79,162.425,39.062861,-89.406694,Hillsboro,Coffeen-Hillsboro,IL,312,St. Louis|MO,OUT OF SERVICE
KXI49,162.475,38.5439,-88.9245,Salem,Salem,IL,1070,St. Louis|MO,NORMAL
KXI41,162.500,42.259444,-88.3625,Crystal Lake,Crystal Lake,IL,300,Chicago|IL,NORMAL
WNG536,162.550,41.9356,-88.7642,DeKalb,DeKalb,IL,100,Chicago|IL,NORMAL
WWG90,162.425,42.773889,-89.005556,Janesville,Milton - Rock County,WI,300,Milwaukee/Sullivan|WI,NORMAL
KZZ57,162.475,42.3672,-89.0869,Rockford,Latham Park,IL,1000,Chicago|IL,NORMAL
WXM90,162.525,39.6667,-90.341667,Jacksonville,Jacksonville,IL,300,Lincoln|IL,NORMAL
KZZ55,162.525,41.897778,-89.605556,Dixon,Dixon,IL,300,Chicago|IL,NORMAL
WXL22,162.425,41.285556,-89.598889,Princeton,Tiskilwa,IL,300,Quad Cities|IA,NORMAL
KXI70,162.450,39.104194,-90.264611,Jerseyville,Jerseyville,IL,311,St. Louis|MO,NORMAL
KZZ56,162.450,42.328056,-89.725,Freeport,Eleroy,IL,300,Quad Cities|IA,NORMAL
WXJ75,162.400,39.7833,-89.4461,Springfield,Springfield,IL,1000,Lincoln|IL,NORMAL
WXJ76,162.550,40.1058,-88.449667,Champaign,Seymour,IL,1000,Lincoln|IL,NORMAL
KXI46,162.500,39.306111,-88.935556,Shelbyville,Shelbyville,IL,300,Lincoln|IL,NORMAL
KXI48,162.450,38.964105,-88.2231,Newton,Newton,IL,1000,Lincoln|IL,NORMAL
KXI47,162.525,39.552222,-87.7,Paris,Paris,IL,300,Lincoln|IL,NORMAL
KWO39,162.550,41.878889,-87.636111,Chicago,Wood Dale,IL,300,Chicago|IL,NORMAL
KZZ81,162.425,41.6006,-87.97895,Lockport,Downers Grove,IL,1000,Chicago|IL,NORMAL
KZZ65,162.525,40.476111,-89.033889,Bloomington,Bloomington Heights,IL,300,Lincoln|IL,NORMAL
KXI58,162.400,41.6061,-88.4525,Plano,Yorkville,IL,300,Chicago|IL,NORMAL
KIG76,162.550,38.18,-87.486944,Evansville,Haubstadt,IN,1000,Paducah|KY,NORMAL
KXI86,162.500,40.7178,-87.86,Crescent City,Crescent City,IL,300,Chicago|IL,NORMAL
WXK24,162.450,40.9925,-88.598056,Odell,Odell,IL,1000,Chicago|IL,NORMAL
WXJ71,162.475,40.628889,-89.57,Peoria,East Peoria,IL,1000,Lincoln|IL,NORMAL
KXI52,162.400,38.1139,-88.5458,McLeansboro,McLeansboro,IL,300,Paducah|KY,NORMAL
KZZ66,162.400,40.988056,-90.317778,Galesburg,Galesburg,IL,300,Lincoln|IL,NORMAL
KZZ58,162.525,41.0775,-87.756111,Kankakee,Aroma Park,IL,300,Chicago|IL,NORMAL
KZZ76,162.450,42.669722,-87.8475,Racine,Racine,WI,300,Milwaukee/Sullivan|WI,NORMAL
KDO89,162.550,38.580583,-90.32925,St. Louis,Shrewsbury,MO,1010,St. Louis|MO,NORMAL
KIH46,162.475,36.6925,-88.536111,Mayfield,Mayfield,KY,1000,Paducah|KY,NORMAL
KXI42,162.450,37.953139,-89.876639,Chester,Chester,IL,315,St. Louis|MO,NORMAL
WXJ58,162.550,41.103611,-85.191111,Fort Wayne,Fort Wayne,IN,1000,Northern Indiana|IN,NORMAL
WWG73,162.525,38.958889,-85.878611,Seymour,Seymour,IN,1000,Indianapolis|IN,NORMAL
WXK74,162.475,40.668889,-86.695556,Monticello/Lafayette,Yeoman,IN,1000,Indianapolis|IN,NORMAL
WXM98,162.450,40.5969,-85.6558,Marion,Marion,IN,100,Northern Indiana|IN,NORMAL
KJY93,162.425,40.093611,-85.392222,Muncie,Ball State Muncie,IN,1000,Indianapolis|IN,NORMAL
KEC74,162.550,39.7675,-86.0025,Indianapolis,Indianapolis,IN,1000,Indianapolis|IN,NORMAL
WXM78,162.450,39.164167,-86.521111,Bloomington,Indiana University,IN,300,Indianapolis|IN,NORMAL
WWG72,162.500,38.734722,-86.578611,Georgia,Georgia,IN,1000,Indianapolis|IN,NORMAL
KIH43,162.475,38.367084,-85.831639,New Albany,Floyds Knob,IN,1000,Louisville|KY,NORMAL
WXK72,162.400,39.568333,-86.886944,Putnamville,Brazil,IN,1000,Indianapolis|IN,NORMAL
WWG83,162.425,38.8417,-87.267222,Edwardsport,Edwardsport,IN,1000,Indianapolis|IN,NORMAL
KXI94,162.425,41.6867,-84.9836,Angola,Angola,IN,1000,Northern Indiana|IN,NORMAL
KIH42,162.550,39.030556,-84.506389,Covington,Covington,KY,1000,Wilmington|OH,NORMAL
KHB52,162.500,39.8283,-84.8975,Richmond,Wayne CO Courthouse,IN,300,Wilmington|OH,NORMAL
KZZ36,162.500,41.358889,-85.7,North Webster,State Rd. 13 (State Hwy.),IN,300,Northern Indiana|IN,NORMAL
WXJ57,162.400,41.616111,-86.192222,South Bend,Mishawaka,IN,1000,Northern Indiana|IN,NORMAL
WXJ46,162.475,39.658333,-84.316667,Dayton,Miamisburg,OH,1000,Wilmington|OH,NORMAL
KZZ27,162.425,39.853889,-87.408333,Newport,Vermillion,IN,300,Indianapolis|IN,NORMAL
KJY62,162.500,41.660833,-86.751667,Michigan City,La Porte,IN,1000,Northern Indiana|IN,NORMAL
WNG689,162.450,41.3536,-87.1853,Hebron,Porter County,IN,300,Chicago|IL,NORMAL
KZZ61,162.475,37.691944,-86.848889,Whitesville,Whitesville,KY,300,Paducah|KY,NORMAL
KZZ48,162.450,38.525556,-84.811111,Owenton,Owenton,KY,300,Wilmington|OH,NORMAL
WXK95,162.400,37.573167,-95.220167,Chanute,Erie,KS,1000,Wichita|KS,NORMAL
KGG98,162.425,38.335,-95.6744,Halls Summit,Waverly,KS,1110,Topeka|KS,NORMAL
WZ2512,162.525,38.302944,-94.959806,Parker,Mound City,KS,683,Kansas City|MO,NORMAL
KEC77,162.400,39.709639,-95.0425,Saint Joseph,Wathena,KS,1000,Kansas City|MO,NORMAL
WXK91,162.475,39.006028,-96.049389,Topeka,Maple Hill,KS,1000,Topeka|KS,NORMAL
WNG534,162.525,37.530528,-99.050806,Belvidere,Belvidere,KS,1040,Dodge City|KS,NORMAL
WZ2511,162.400,37.37059,-98.40278,Sharon,Sharon,KS,1060,Wichita|KS,NORMAL
WXK92,162.400,38.8136,-98.1694,Ellsworth,Ellsworth,KS,1000,Wichita|KS,NORMAL
KPS511,162.500,38.447944,-98.76925,Great Bend,Great Bend,KS,1060,Wichita|KS,NORMAL
WXM35,162.450,39.0208,-99.470722,Hays,Hays,KS,1070,Dodge City|KS,NORMAL
KZZ30,162.475,37.870194,-94.033139,El Dorado Springs,El Dorado Springs,MO,1000,Springfield|MO,NORMAL
KWN41,162.500,40.219694,-95.665583,Shubert,Shubert,NE,1000,Omaha/Valley|NE,NORMAL
WWH22,162.500,37.58628,-96.54489,Beaumont,Beaumont,KS,314,Wichita|KS,NORMAL
KEC59,162.550,37.750611,-97.303667,Wichita,Wichita,KS,1050,Wichita|KS,NORMAL
WNG644,162.425,36.756111,-95.8475,Bartlesville,Washington County,OK,1000,Tulsa|OK,NORMAL
WXJ61,162.425,37.164222,-94.0053,Avilla,La Russell,MO,1000,Springfield|MO,NORMAL
KJY82,162.450,36.879889,-94.4255,Neosho,Newton County,MO,981,Springfield|MO,NORMAL
WXK96,162.400,39.4808,-100.91,Gem,Colby,KS,700,Goodland|KS,NORMAL
WXK93,162.475,37.641222,-100.344722,Dodge City,Ensign,KS,1000,Dodge City|KS,NORMAL
WNG555,162.425,37.286083,-100.399528,Meade,Meade,KS,1080,Dodge City|KS,NORMAL
WXL71,162.525,38.797111,-97.217083,Abilene,Abilene,KS,1000,Topeka|KS,NORMAL
WXK94,162.550,39.4389,-97.7053,Concordia,Concordia,KS,1000,Topeka|KS,NORMAL
WWF42,162.450,36.689333,-97.168444,Ponca City,Ponca City,OK,312,Norman|OK,NORMAL
KEC39,162.525,40.183167,-100.100667,Cambridge,Cambridge,NE,347,Hastings|NE,NORMAL
KID77,162.550,39.0905,-94.472,Kansas City,Independence,MO,1000,Kansas City|MO,NORMAL
WNG535,162.525,38.432444,-100.464833,Dighton,Dighton,KS,1060,Dodge City|KS,NORMAL
WXN81,162.450,37.505115,-101.470286,Ulysses,Ulysses,KS,1000,Dodge City|KS,OUT OF SERVICE
WWF87,162.425,39.573333,-99.986111,Lenora,Lenora,KS,323,Goodland|KS,NORMAL
WWG22,162.550,38.456333,-101.642583,Tribune,Tribune,KS,307,Dodge City|KS,NORMAL
WNG578,162.525,40.1256,-98.0678,Superior,Superior,NE,1000,Hastings|NE,NORMAL
KZZ67,162.425,39.706686,-96.557,Blue Rapids,Merrimac,KS,1080,Topeka|KS,NORMAL
KWN59,162.500,39.6036,-99.121667,Kirwin,Phillipsburg,KS,1070,Hastings|NE,NORMAL
KIH45,162.400,37.08963,-86.634822,Bowling Green,Sugar Grove,KY,1000,Louisville|KY,NORMAL
WZ2547,162.450,37.0103,-85.6036,Edmonton,Metcalfe Co.,KY,300,Louisville|KY,NORMAL
WNG570,162.500,37.17643,-85.923565,Horse Cave,Hart County,KY,1000,Louisville|KY,NORMAL
KIH44,162.550,37.167433,-84.824444,Somerset,Bethelridge,KY,1000,Jackson|KY,NORMAL
WNG631,162.525,36.432222,-85.883611,Lafayette,Pleasant Shade,TN,1000,Nashville|TN,NORMAL
KIH41,162.400,37.879203,-84.325499,Lexington,Richmond,KY,1000,Louisville|KY,NORMAL
WWG71,162.400,38.177309,-83.404723,Morehead,Morehead,KY,300,Jackson|KY,NORMAL
KIH40,162.475,37.192919,-83.1878,Hazard,Hazard,KY,1000,Jackson|KY,NORMAL
WWG62,162.525,36.730278,-83.773611,Pineville,Pineville,KY,300,Jackson|KY,NORMAL
WWG61,162.550,37.909089,-83.925739,Stanton,Rotten Point,KY,300,Jackson|KY,NORMAL
KIH39,162.550,38.461917,-82.619833,Ashland,Ashland,KY,1090,Charleston|WV,NORMAL
KZZ49,162.425,38.6403,-83.8083,Maysville,Washington,KY,300,Wilmington|OH,NORMAL
WWG26,162.425,37.5911,-83.3136,Jackson,Jackson,KY,300,Jackson|KY,NORMAL
KZZ64,162.450,37.902704,-86.168283,Ekron,Ekron,KY,300,Louisville|KY,NORMAL
WXJ91,162.525,37.190278,-87.513056,Madisonville,Madisonville,KY,1000,Paducah|KY,NORMAL
KHA46,162.450,36.137194,-88.261,Vale,Hollow Rock,TN,1000,Memphis|TN,NORMAL
WWH37,162.500,36.516389,-87.336944,Clarksville,Clarksville,TN,300,Nashville|TN,NORMAL
KXI26,162.450,36.879444,-87.504722,Hopkinsville,Hopkinsville,KY,300,Paducah|KY,NORMAL
WWG66,162.400,37.147486,-83.69179,Manchester,Manchester,KY,300,Jackson|KY,NORMAL
KZZ62,162.475,36.79067,-85.241057,Burkesville,Smith Grove Ridge,KY,300,Louisville|KY,NORMAL
WWG79,162.450,37.941944,-83.220278,West Liberty,West Liberty,KY,300,Jackson|KY,NORMAL
WNG727,162.475,37.7275,-83.944444,Irvine,Irvine,KY,500,Jackson|KY,NORMAL
WWG28,162.525,37.844594,-82.668017,Paintsville,Paintsville,KY,100,Jackson|KY,NORMAL
WWG69,162.400,37.285045,-82.524559,Pikeville,Pikeville,KY,300,Jackson|KY,NORMAL
WZ2523,162.500,38.207276,-84.836243,Frankfort,Frankfort,KY,300,Louisville|KY,NORMAL
KIH43A,162.550,37.68201,-85.84203,Elizabethtown,Elizabethtown,KY,300,Louisville|KY,NORMAL
WWG68,162.450,36.787834,-83.290954,Harlan,Grey's Knob,KY,300,Jackson|KY,NORMAL
WWG64,162.450,37.415194,-84.008669,McKee,McKee,KY,300,Jackson|KY,NORMAL
WWG65,162.475,37.146656,-84.106809,London,London,KY,300,Jackson|KY,NORMAL
WWG67,162.500,37.625702,-83.77203,Beattyville,Bear Track,KY,300,Jackson|KY,NORMAL
WXM69,162.525,38.893056,-83.255,Otway,Moon Ridge,OH,1000,Wilmington|OH,NORMAL
WWF82A,162.525,37.7744,-84.324611,East Madison County,Richmond EOC,KY,100,Louisville|KY,NORMAL
WWF82C,162.525,37.6181,-84.2619,Madison County,Big Hill,KY,100,Louisville|KY,NORMAL
WWF82D,162.525,37.7436,-84.1825,Moberly,Moberly,KY,110,Louisville|KY,NORMAL
WWF82B,162.525,37.777222,-84.436111,West Madison County,Jolly Ridge,KY,100,Louisville|KY,NORMAL
WWG63,162.475,37.935504,-83.613547,Frenchburg,Frenchburg,KY,300,Jackson|KY,NORMAL
WWG81,162.500,37.500959,-82.227513,Phelps,Dicks Knob,KY,300,Jackson|KY,NORMAL
WWG70,162.425,37.339906,-84.383093,Mount Vernon,Mount Vernon,KY,300,Jackson|KY,NORMAL
KZZ63,162.525,37.423623,-85.274201,Campbellsville,Spurlington,KY,300,Louisville|KY,NORMAL
WWG80,162.425,36.844729,-84.773417,Monticello,Monticello,KY,300,Jackson|KY,NORMAL
WWG78,162.500,36.671143,-84.221466,Williamsburg,Williamsburg,KY,300,Jackson|KY,NORMAL
WXK80,162.550,30.04863,-91.99683,Lafayette,Youngsville,LA,1000,Lake Charles|LA,NORMAL
KHB42,162.400,30.221222,-93.3114,Lake Charles,Westlake,LA,1000,Lake Charles|LA,NORMAL
KHB46,162.400,30.44325,-91.18197,Baton Rouge,Baker,LA,1000,New Orleans/Baton Rouge|LA,OUT OF SERVICE
KIH23,162.475,29.75436,-91.17377,Morgan City,Morgan City,LA,1000,New Orleans/Baton Rouge|LA,NORMAL
WXK78,162.475,31.63906,-92.20532,Alexandria,Jena,LA,1000,Lake Charles|LA,NORMAL
KXI54,162.425,31.17325,-93.56762,Burkeville,Burkeville,TX,1000,Lake Charles|LA,NORMAL
WXN87,162.500,31.787,-93.205,Natchitoches,Natchitoches,LA,1030,Shreveport|LA,NORMAL
WXJ97,162.400,32.575806,-93.8686,Shreveport,Lake View,LA,1120,Shreveport|LA,NORMAL
WXJ96,162.550,32.527694,-92.102222,Monroe,Monroe,LA,800,Shreveport|LA,NORMAL
KIH48,162.550,31.372917,-90.751417,Bude,Smithdale,MS,1000,Jackson|MS,NORMAL
WXL41,162.475,29.35545,-89.52424,Buras,Buras,LA,1000,New Orleans/Baton Rouge|LA,NORMAL
KHB43,162.550,29.95287,-90.06717,New Orleans,New Orleans,LA,1000,New Orleans/Baton Rouge|LA,NORMAL
